0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Gelderland Expected Number of Deaths,Overijssel Expected Annual Damage,Overijssel Dike Investment Costs,Overijssel Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,4,2,0,1,6,4,7,4,0,0,0,0,0,0,0.07289722789700427,425621746.4730526,0.0,0.04002024853556791,30700000.0,45398.33220241803
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,2,3,1,0,3,4,3,0,0,0,0,1.9836125709537633,227098360.54364437,19364628.02360858,0.15991415631637568,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,6,2,3,4,6,6,3,1,0,0,2,7,0,0,0.015447597426246972,73331380.35085705,51525593.764661424,0.0051372551947517185,0.0,5636.09581155621
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,6,3,0,7,0,3,5,7,0,0,0,0,0,0.19778458171125363,295853802.56657803,14261651.781499248,0.02460577838239286,0.0,56188.11053015632
0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,4,1,0,2,5,6,0,1,0,0,0,1,0,0,0.45557705136577936,111998055.39175922,25037214.086173728,0.08032075120443807,236500000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,6,2,2,5,0,3,4,0,0,0,4,0,0,0.7113125800148965,90573323.93461661,33377116.55719709,0.014652961999436904,0.0,27727.750409850156
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,9,0,1,7,1,4,0,3,0,0,0,0,0,0.16337789269972972,340620529.06005216,8453407.696608048,0.03289071625914965,84600000.0,65337.242123440636
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2,6,0,0,6,1,3,5,3,1,2,7,0,0,0.15856934924835608,6948780.56974036,68024878.5366517,0.00045381371977522495,0.0,44415.9966521521
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,4,1,0,2,6,1,1,0,0,0,3,3,0,0,0.23402225492132078,56666148.69268993,38804933.73898803,0.0030839009955262275,151900000.0,36489.32747092131
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,2,0,4,6,0,0,0,3,3,3,3,0,0,0.4050639415358097,16609128.700166307,58496419.766899765,0.0012116030648146431,0.0,91784.97187884816
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0,0,2,2,1,3,7,1,3,3,0,0,0,0.45412712002033223,348903236.5576512,24732500.84179449,0.1000980822946596,0.0,25296.04188502655
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,6,0,5,5,2,3,0,7,0,0,7,0,0,0.9302125636561809,0.0,58455165.32663889,0.0,151900000.0,0.0
1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,3,5,3,0,0,5,6,0,0,4,0,0,1,0,0,0,0.2064561037567237,39236331.69170466,6320800.309666242,0.0023048213110450954,750600000.0,56135.18400812525
1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3,3,0,0,5,5,0,0,3,3,0,0,5,0,0,2.3355409415877504,2543854.288355112,45130083.53690255,0.001240727417047955,411600000.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,3,2,7,1,6,6,7,6,0,0,0,0,0,0,0.036880109546436474,624706130.1300682,0.0,0.5167235469571131,30700000.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,3,0,0,2,2,1,0,0,0,2,3,0,0,0,1.5822836268346951,233145989.98022062,16373078.863592021,0.19482042806963623,30700000.0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,0,2,5,4,3,4,0,1,2,0,0,0,0.4989904080802599,367927490.17561024,13903423.98391871,0.29607224671321053,84600000.0,0.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,2,2,1,0,1,0,3,4,0,0,0,1.8332221428566478,47218110.10330703,19176830.963968083,0.0549360952384262,205800000.0,0.0
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,4,3,5,5,6,7,0,6,0,0,0,0,0,0,0.02817152496230861,354690597.1178262,0.0,0.2771708067407408,151900000.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,6,3,2,0,4,5,0,7,9,0,0,0,0,0,0,0.09181561638188455,417614874.5988844,0.0,0.038822190362049626,30700000.0,49049.22020047788
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,1,6,5,6,7,2,4,0,0,0,0,0,0,0.07573786413626996,621352833.023008,0.0,0.0616335387070146,0.0,40447.732004548656
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,6,2,0,5,6,1,0,0,3,0,3,0,0,0,1.9249121460808567,50692112.682284415,17803345.000196747,0.040987785292469436,242400000.0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,7,2,6,7,3,7,0,1,0,6,0,0,0.011890505418943164,73030595.55050454,46594472.69339025,0.03505464016822448,84600000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,6,0,2,7,0,3,3,0,1,7,0,0,0,0.19589972843124384,280513209.0795537,21069784.935395602,0.023300148320384687,0.0,53187.17213081523
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,7,7,6,5,6,4,1,0,0,0,0,0,0,0.08272197755223887,624596193.629145,0.0,0.18596464279564667,30700000.0,19614.600390177933
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,7,3,6,0,2,6,0,0,0,0,3,7,0,0,0,0.39492187882849294,40596854.6717807,24227584.784522224,0.0040009540516726455,242400000.0,104284.14096453018
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,5,5,7,3,7,0,3,0,0,0,0,0.14186008324272525,454792144.73846,8453407.696608048,0.342254648873581,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6,1,0,5,5,7,3,4,0,0,0,0,0,0,0.13940739187651247,244785907.32894456,0.0,0.1824523815936239,121200000.0,0.0
0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,3,5,4,3,1,1,6,0,7,7,0,0,0,0,0,0,0.04152878516450206,158933859.05290034,0.0,0.013902998946292764,267200000.0,28948.41792974786
0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,7,4,9,9,2,2,6,1,7,7,0,2,7,0,0,0.0018966563613333652,0.0,67731432.95737815,0.0,831600000.0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,1,6,0,4,0,0,3,3,0,0,0,1.0385340264314826,280237674.3504152,17803345.000196747,0.2383860331723592,84600000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,1,0,0,7,0,3,7,5,2,0,0,0,0,0.19641319711760002,266880529.3991333,19742157.81013341,0.023425020892974387,0.0,56515.57930458378
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,5,7,5,7,0,5,7,1,6,7,3,2,7,3,0,0.0025664412663157555,0.0,117809750.1893556,0.0,199900000.0,415.0333837279359
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,7,0,1,0,2,4,3,0,0,0,0,1,0,0,0,0.07924534683451231,98785177.376637,6320800.309666242,0.010172870230942481,205800000.0,43000.713232258204
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,5,1,1,0,2,7,0,0,0,0,0,1,0,0,0,0.34469303183285854,281338398.4706205,6320800.0,0.02295177466134382,115300000.0,91920.25111564096
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,2,3,2,0,1,8,7,0,4,7,0,0,0,0,0,0.6311488678022494,41803277.699438594,14261651.781499248,0.028928378968640017,681100000.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,3,7,0,3,5,0,0,2,3,0,0,0,5,0,2.983597274304821,4297270.525269985,45130083.53690255,0.002048251095154355,121200000.0,0.0
0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,5,0,0,0,0,1.76917095848786,21388514.11252781,11068771.68625446,0.019549655171839323,521600000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,6,1,0,5,1,2,1,3,0,1,1,0,0,0,0.12009174374333359,358817807.5764445,12857587.774250694,0.03387188761826567,0.0,50071.92265596488
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,3,0,5,7,0,7,7,1,3,0,5,0,0,1.1454059243311834,46571484.0584223,51739744.020645455,0.02532230465059694,30700000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,2,6,7,0,1,3,2,0,7,0,0,0.6363162347239185,5043857.71497804,60756608.22453916,0.0034026313294291417,0.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,7,1,0,2,1,0,0,0,0,4,0,0,0,0,0.40699275214871045,30991661.35655135,9695195.36216505,0.0021369189886554737,121200000.0,93317.48921274379
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,3,0,0,2,1,0,0,0,0,1,3,0,0,0,1.4604048666040583,198827871.2327479,15063068.18035096,0.19722251054291168,61400000.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,1,4,5,6,7,1,2,0,0,2,0,1,0,0.06960663534254546,485651747.51035523,32369294.305695508,0.38757162734402584,30700000.0,0.0
1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,3,6,6,2,2,5,5,0,0,3,0,1,3,0,0,0,0.0917710472451863,41259831.70212787,15063068.18035096,0.003801980866323028,696700000.0,24212.183631275042
1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,3,4,4,1,0,5,6,0,0,0,3,3,0,0,0,0,0.12505694660913774,27652599.148145378,17803345.000196747,0.0026507473931382647,952800000.0,34697.483640687344
1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,3,10,8,6,9,2,1,8,3,5,3,0,0,7,0,0,0.0,1020242.2253808621,52646921.24174769,5.984527828881031e-05,1459100000.0,72.87507324767168
0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,5,7,5,5,2,5,6,0,7,0,0,0,0,0,0,0.02795798282350599,69321341.57386251,0.0,0.05217911972246939,1247200000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,2,1,0,1,1,0,4,6,0,0,0,0.29068384886625737,120824967.17120543,24092218.720461875,0.01718402026969021,0.0,52979.61058112753
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,4,4,1,6,5,5,6,1,4,0,0,0,0,0,0,0.01192774162704374,149380578.65631258,0.0,0.014026778252483227,327000000.0,13326.933359184342
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,5,6,0,1,0,0,0,0,3,0,0,2.8609231973883773,89627294.44526409,30351526.042379983,0.042233663247148334,84600000.0,0.0
0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,3,4,4,3,1,5,10,2,0,0,0,2,6,0,0,0,0.05081519355384588,30239541.967486423,20793414.8415654,0.0029148509489160756,1178200000.0,25758.29996973886
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,7,0,3,6,1,0,4,0,3,0,0,0,0,2.1618831491660875,277804684.78560716,8453407.696608048,0.19054634933465642,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,6,2,1,7,0,4,7,3,2,9,7,0,0.04492935759077982,0.0,148128996.22445607,0.0,0.0,1231.735272754297
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,3,1,0,3,3,0,3,0,0,0,0,0.2588368317679905,238166611.7145698,8453407.696608048,0.01942058328491885,30700000.0,43835.75858577693
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,1,0,2,0,7,1,1,0,0,3,0,0,0,0.09341990246589048,370914992.20076203,8453407.696608048,0.03558842783374334,0.0,43697.388357050935
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,3,1,7,2,3,0,1,1,0,0,0,0.4524877190978918,444388560.80599225,12857587.774250694,0.3486047212469862,0.0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,0,2,0,0,4,0,1,2,0,0,0,2.7309202435044546,204689433.3481506,13903423.98391871,0.13722923410828297,84600000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,2,1,6,0,0,0,1,0,3,0,0,0.02676166253744082,94644350.13862216,36672326.35204622,0.005985215176019827,0.0,19992.918364407138
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,2,0,6,1,0,1,4,0,0,1,0,0,0,0.9633614492514987,359097075.4757414,6320800.309666242,0.10184490037861242,0.0,38716.14711000984
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,6,7,6,0,5,6,3,1,3,0,3,0,0,0,0,0.11410820165323327,226685174.47219265,8453407.696608048,0.024972125374977127,121200000.0,28735.72103617598
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,6,1,7,1,0,0,0,0,0,0,0,0.6311488678022494,494938904.4016669,0.0,0.37585993706918963,0.0,0.0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,4,1,5,1,6,7,4,5,0,0,2,0,0,0,0.03394475250697055,333403275.53420407,7332080.219521779,0.25834743420538475,205800000.0,0.0
0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,5,1,4,5,10,3,1,4,0,0,1,0,0,0,0.18116471419545782,105195594.30943532,6320800.309666242,0.07910673139460236,327000000.0,0.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,7,7,6,3,2,7,6,7,4,0,3,2,0,0,0,0.01537648060344125,482802538.31478846,16563094.679399516,0.05501942150350314,30700000.0,28233.183408976314
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,3,2,0,2,3,0,0,4,0,2,0,0,0,0,0.2647320799239262,269931705.69614697,7332080.219521779,0.02195615603955025,30700000.0,51446.01244610433
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,5,2,1,7,0,7,0,1,0,0,0,0,0.05608369176772353,619954496.7219721,6320800.309666242,0.4968237562005989,84600000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,2,0,0,0,0,1,1,5,0,0,0,3.1806422071561116,76836510.21961665,24695742.681543775,0.05130388333173954,0.0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,4,0,0,1,0,0,0,2.223776243079972,205460423.54191846,6320800.309666242,0.13788350379528044,84600000.0,0.0
0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,6,1,1,7,5,1,0,0,2,0,0,0,0,0,0,1.7002656801912766,41294846.263900384,0.0,0.019884952065708752,619700000.0,0.0
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,4,1,0,4,6,7,1,3,0,0,0,0,0,0,0.09837457985237341,440227553.5501972,0.0,0.04024368508263368,61400000.0,43098.3155180311
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,2,7,4,5,0,0,3,0,1,3,3,0,0,2.7856377524182387,37004670.319809504,45414594.22273094,0.022372531117040864,121200000.0,0.0
0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,6,5,2,0,2,5,0,6,3,0,0,0,0,0,0,0.3697841401086813,52871007.99389701,0.0,0.027545070716402102,642800000.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,6,1,7,5,0,1,4,0,7,0,5,0,0,0.5662827604925861,25481676.143044274,50938327.62179375,0.005259851907140352,30700000.0,14916.774319304084
0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,2,0,0,2,7,0,1,0,0,0,1.015050035831183,16203131.769734774,22258486.725668453,0.018049294951144507,1134000000.0,0.0
0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,3,10,0,1,8,2,1,1,2,5,3,0,0,7,0,0,0.028134103484874717,1146639.2083719184,52646921.24174769,6.201853902615699e-05,869900000.0,6804.41869180647
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,1,0,5,10,7,1,2,0,0,0,0,0,0,0.8306315061193132,80404066.10778071,0.0,0.057965382580352845,242400000.0,0.0
1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,6,2,2,0,0,3,0,0,1,1,0,1,0,0,0,0.710148505705606,37817725.34162502,12857587.774250694,0.030978404653775573,606200000.0,0.0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,6,4,1,0,5,3,0,1,1,0,0,0,0,3,0,0.31502502126869186,79293898.66630049,30351526.042379983,0.004002468452639791,121200000.0,83738.49692356918
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,5,0,3,3,7,1,3,7,0,1,0,0,0,0.48750921860317453,376252797.18604267,22258486.725668453,0.3038482176764346,0.0,0.0
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,5,6,10,4,3,8,0,6,7,0,3,7,0,8,0.013006962982630349,0.0,130464516.51993322,0.0,115300000.0,0.0
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,7,1,1,3,5,0,1,2,0,0,0,0,0,0,1.5557913844006672,59543788.667450696,0.0,0.04018728961142463,242400000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,7,0,6,0,0,0,0,0,2,1,3,0,0,3.764817327019767,28402403.387708697,44443761.34729548,0.016140242608397783,0.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,1,7,2,5,5,7,6,0,0,1,0,1,0,0.06185742622289381,523159064.2281935,31358014.39583997,0.42122014790563683,30700000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2,6,0,2,1,0,0,0,0,2,6,0,0,0,0.45295663564106514,85248969.70035046,20793414.8415654,0.007450845590310402,0.0,112800.43203969438
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,1,2,7,0,1,0,4,0,0,4,0,0,0.41153724323598295,32675200.467880595,43072311.91936214,0.0019488883047915266,0.0,100334.69760867607
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,6,0,1,3,0,1,1,1,0,1,0,0,0,3.3477830961525235,120148021.80882752,12857587.774250694,0.1427597614215925,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,7,5,0,2,0,0,0,5,5,2,0,0,7,0,0.2718533724917358,8988257.78537334,63935671.35527305,0.0007103882109050994,0.0,70835.76988264883
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,6,0,0,2,6,7,2,5,3,0,0,0,0,0,0.1533305103020543,430371984.6425079,8453407.696608048,0.33997179893698193,30700000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,6,7,1,1,0,0,1,0,0,0,0.6505908284639698,300226552.7370377,6320800.309666242,0.24983380034915273,0.0,0.0
0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,2,1,0,5,5,0,0,2,0,0,0,3,0,0,1.0393400480493271,13663209.728913719,30351526.042379983,0.005774317257761614,1208900000.0,0.0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,6,2,1,2,2,0,1,7,0,5,0,0,0,0,1.080327243339756,127850627.84069005,11068771.68625446,0.09834575505192886,151900000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3,1,1,1,4,0,1,0,0,0,0,1.3335534262303625,283956790.8697158,6320800.309666242,0.20077566176319595,0.0,0.0
0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,3,7,5,6,1,5,6,0,7,7,0,0,0,3,0,0,0.04310705407154021,15294108.088358182,30351526.042379983,0.0008762060688377662,1162600000.0,16873.325333643756
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,3,2,5,1,7,3,4,0,0,6,0,0,0,0.04357354823258289,487036439.7889333,12586457.998778107,0.05563064058885954,84600000.0,33696.418346011145
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,7,7,2,0,2,9,0,0,0,3,1,3,4,0,0,0.4369006916541097,983793.2432414802,58491112.28417723,6.637004222157166e-05,121200000.0,111584.2423701085
1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,3,6,5,4,1,2,5,1,3,7,7,0,1,0,3,0,0.03742451552995428,984741.0957150594,52610012.768048435,7.957050947699184e-05,991100000.0,17737.025193425903
1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,5,4,2,1,6,4,4,0,7,0,1,1,0,0,0,0.07501506808451477,69967894.32411408,12857587.774250694,0.05276384723536299,765700000.0,0.0
0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,6,2,1,1,2,5,7,0,6,4,0,0,0,2,0,0.09392513587028165,14151195.744798128,37273425.32982029,0.010573395888160012,1093600000.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,3,6,8,5,6,4,7,2,2,0,1,0,0,0,0.05702283837728432,620881990.0181752,14092235.304915495,0.19318657097435346,30700000.0,19476.49342414726
1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,7,3,6,3,5,6,0,1,1,3,0,1,0,3,0,1.214880047752891,1136296.194862403,45796089.10791659,0.0005964035910276961,1396000000.0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,5,1,0,6,1,3,0,0,0,6,0,1.4055695153296213,46314001.04621651,48727080.080332056,0.023259077319152877,84600000.0,0.0
